NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
86,Pediatrie,Oncologie,"Tumori osoase la copil (osteosarcom, sarcom Ewing)",N,Scintigrafie osoasă / PET-CT,Doar cu aviz specializat,B,Bilanț de extensie scheletică și sistemică (scintigrafie osoasă sau PET-CT cu F18-FDG).,,3,3,Nu
87,Pediatrie,Oncologie,Rabdomiosarcom / sarcom de părți moi la copil,M,IRM (regiunea primară) cu contrast,Indicat,A,"Bilanț local de referință al tumorii primare (cap-gât, orbită, tract genito-urinar, membre, trunchi).",,0,0,Nu
88,Pediatrie,Oncologie,Rabdomiosarcom / sarcom de părți moi la copil,T,CT toracic,Indicat,B,Depistarea metastazelor pulmonare (stadializare).,,2,3,Nu
89,Pediatrie,Oncologie,Rabdomiosarcom / sarcom de părți moi la copil,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,Stadializare ganglionară și la distanță; evaluarea răspunsului la tratament.,,3,3,Nu
90,Pediatrie,Oncologie,Rabdomiosarcom / sarcom de părți moi la copil,E,Ecografie,Doar în cazuri particulare,B,Caracterizare inițială a masei superficiale de părți moi.,,0,0,Nu
91,Pediatrie,Oncologie,Histiocitoză cu celule Langerhans (LCH) la copil,G,Radiografie (craniu / leziune osoasă simptomatică),Indicat,B,"Leziuni osoase litice bine delimitate (craniu, oase lungi, „vertebra plana"").",,1,1,Nu
92,Pediatrie,Oncologie,Histiocitoză cu celule Langerhans (LCH) la copil,M,IRM (regiunea afectată și SNC),Indicat,B,Bilanț local; afectare SNC / axă hipotalamo-hipofizară (diabet insipid); infiltrare de părți moi și medulară.,,0,0,Nu
93,Pediatrie,Oncologie,Histiocitoză cu celule Langerhans (LCH) la copil,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,Bilanț de extensie multisistemic și evaluarea răspunsului (leziuni active).,,3,3,Nu
94,Pediatrie,Oncologie,Histiocitoză cu celule Langerhans (LCH) la copil,G,Radiografie toracică,Doar în cazuri particulare,C,"Afectare pulmonară (chisturi, noduli).",,1,1,Nu
95,Pediatrie,Oncologie,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
96,Pediatrie,Sistem nervos central,Aspect anormal al craniului Anomalii de perimetru cranian,E,Ecografie,Indicat,B,"Ecografia este în general suficientă pentru stabilirea diagnosticului de macrocranie simplă, în cazul în care fontanela anterioară este încă deschisă.",,0,0,Nu
97,Pediatrie,Sistem nervos central,Aspect anormal al craniului Anomalii de perimetru cranian,M,IRM,Doar în cazuri particulare,B,IRM-ul poate fi indicat dacă fontanelele sunt închise.,"Ecografia este în general suficientă pentru stabilirea diagnosticului de macrocranie simplă, în cazul în care fontanela anterioară este încă deschisă. Radiografia craniană este indicată în investigarea craniostenozei, în cazul în care se observă microcefalie sau plagiocefalie accentuată; CT poate fi indicat cu aviz specializat.",0,0,Nu
98,Pediatrie,Sistem nervos central,Aspect anormal al craniului Anomalii de perimetru cranian,G,Radiografie standard (craniană),Doar cu aviz specializat,B,"Radiografia craniană este indicată în investigarea craniostenozei, în cazul în care se observă microcefalie sau plagiocefalie accentuată, dar realizarea și interpretarea acesteia sunt delicate.",,1,1,Nu
99,Pediatrie,Sistem nervos central,Aspect anormal al craniului Anomalii de perimetru cranian,T,CT,Doar cu aviz specializat,C,CT-ul 3D este util pentru bilanțul preoperator al craniostenozelor.,,2,2,Nu
100,Pediatrie,Sistem nervos central,Boli congenitale (cerebrale și spinale),E,Ecografie,Indicat,B,Ecografia trebuie avută în vedere în primă intenție la noul născut pentru investigarea sistematică a anomaliilor cerebrale și medulare.,,0,0,Nu
101,Pediatrie,Sistem nervos central,Boli congenitale (cerebrale și spinale),G,Radiografie standard,Indicat,B,Radiografia este utilă pt. anomaliile de aliniament și scoliozele congenitale sau idiopatice.,,1,1,Nu
102,Pediatrie,Sistem nervos central,Boli congenitale (cerebrale și spinale),M,IRM,Indicat,B,IRM-ul este examenul de referință pentru toate malformațiile cerebrale și spinale. ,,0,0,Nu
103,Pediatrie,Sistem nervos central,Boli congenitale (cerebrale și spinale),T,CT,Doar cu aviz specializat,C,CT poate fi folosit pentru planning-ul chirurgical,,2,2,Nu
104,Pediatrie,Sistem nervos central,Cefalee,M,IRM,Doar cu aviz specializat,B,"Dacă simptomele persistă sau sunt asociate cu semne clinice neurologice, trebuie efectuate examene specializate. La copil, trebuie preferat IRM-ul datorită faptului că este noniradiant.",,0,0,Nu
105,Pediatrie,Sistem nervos central,Cefalee,T,CT,Doar cu aviz specializat,B,"Dacă simptomele persistă sau sunt asociate cu semne clinice neurologice, trebuie efectuate examene specializate. La copil, trebuie preferat IRM-ul datorită faptului că este noniradiant.",,2,2,Nu
106,Pediatrie,Sistem nervos central,Cefalee,G,Radiografie standard (craniană),Neindicat,B,Radiografia craniană nu are contribuție. Diagnosticul de sinuzită este clinic.,,1,1,Nu
107,Pediatrie,Sistem nervos central,Convulsii febrile sau de alte cauze cunoscute,M,IRM,Neindicat,C,Examinarea IRM nu este necesara pentru un prim episod de convulsii febrile tipice.,,0,0,Nu
108,Pediatrie,Sistem nervos central,Convulsii febrile sau de alte cauze cunoscute,T,CT,Neindicat,B,Examinarea CT nu contribuie la diagnostic,,2,2,Nu
109,Pediatrie,Sistem nervos central,Epilepsie,M,IRM,Doar cu aviz specializat,A,"În cazul unui prim episod de convulsii, nu este necesară nici o investigație imagistică. IRM-ul este luat în discuție după examenul clinic specializat și EEG.",,0,0,Nu
110,Pediatrie,Sistem nervos central,Epilepsie,N,PET-CT,Doar cu aviz specializat,B,PET cu 18FDG efectuat în perioadele intercritice poate permite localizarea focarului epileptogen înaintea unei intervenții chirurgicale.,,2,3,Nu
111,Pediatrie,Sistem nervos central,Epilepsie,N,SPECT-CT (99Tc- HMPAO),Doar cu aviz specializat,B,SPECT (tomoscintigrafia) în perioadele critice sau intercritice poate permite localizarea focarului epileptogen. SPECT trebuie asociat cu o înregistrare EEG.,,2,3,Nu
112,Pediatrie,Sistem nervos central,Epilepsie,T,CT,Doar cu aviz specializat,B,"A se utiliza în context de urgență (stare generală alterată, rău convulsiv, traumatism secundar) sau în situațiile cand IRM este indicat dar nu este disponibil. În cazul unui prim episod de convulsii, nu este necesară nicio investigație imagistică. IRM-ul este luat în discuție după examenul clinic specializat și EEG.",,2,2,Nu
113,Pediatrie,Sistem nervos central,Epilepsie,G,Radiografie standard (craniană),Neindicat,B,Radiografia craniană nu contribuie la diagnostic.,,1,1,Nu
114,Pediatrie,Sistem nervos central,Hidrocefalie Disfuncție de șunt (v. și capitolul Cap – subcapitolul Neuro),E,Ecografie,Indicat,B,"Ecografie transfontanelară sau dacă este posibil, IRM-ul la un copil mai mare (sau CT dacă nu se poate efectua un examen IRM)",Pentru diagnosticul inițial sau pentru monitorizare este suficientă ecografia -cât timp fontanela este deschisă. IRM este necesar după închiderea fontanelei și poate fi util în bilanțul preoperator (CT poate fi o alternativă).,0,0,Nu
115,Pediatrie,Sistem nervos central,Hidrocefalie Disfuncție de șunt (v. și capitolul Cap – subcapitolul Neuro),G,Radiografie cranio-toraco-abdominala,Indicat,B,Radiografia trebuie să includă întregul sistem de derivație ventriculară cu scopul de a căuta o deconectare a tubulaturii.,Pentru diagnosticul inițial sau pentru monitorizare este suficientă ecografia -cât timp fontanela este deschisă. IRM este necesar după închiderea fontanelei și poate fi util în bilanțul preoperator (CT poate fi o alternativă).,1,1,Nu
116,Pediatrie,Sistem nervos central,Hidrocefalie Disfuncție de șunt (v. și capitolul Cap – subcapitolul Neuro),M,IRM,Indicat,B,"IRM-ul la un copil mai mare, la care ecografia nu mai este posibilă (sau CT dacă nu se poate efectua un examen IRM)",Pentru diagnosticul inițial sau pentru monitorizare este suficientă ecografia -cât timp fontanela este deschisă. IRM este necesar după închiderea fontanelei și poate fi util în bilanțul preoperator (CT poate fi o alternativă).,0,0,Nu
117,Pediatrie,Sistem nervos central,Hidrocefalie Disfuncție de șunt (v. și capitolul Cap – subcapitolul Neuro),T,CT,Doar cu aviz specializat,C,"A se utiliza în context de urgență sau situație clinică neobișnuită, când IRM nu este disponibil, mai rar pentu monitorizare.",Pentru diagnosticul inițial sau pentru monitorizare este suficientă ecografia -cât timp fontanela este deschisă. IRM este necesar după închiderea fontanelei și poate fi util în bilanțul preoperator (CT poate fi o alternativă).,2,2,Nu
118,Pediatrie,Sistem nervos central,Retard mental Infirmitate motrică cerebrală,M,IRM,Doar cu aviz specializat,C,IRM-ul este una dintre modalitățile posibile de investigare etiologică. Are o contribuție mai mare după vârsta de doi ani. Nu este indicat în cazul în care boala cauzală este dovedită.,,0,0,Nu
119,Pediatrie,Sistem nervos central,Retard mental Infirmitate motrică cerebrală,T,CT,Doar cu aviz specializat,C,CT este recomandat doar în cazul în care nu se poate efectua examen IRM,,2,2,Nu
120,Pediatrie,Sistem nervos central,Sinuzită,T,CT,Doar în cazuri particulare,C,CT-ul cu doză mică este indicat in caz de simptomatologie trenantă sau al unei prezentări clinice neobișnuite. Suspiciunea de etmoidită justifică o evaluare CT în urgență. De asemenea examinarea CT este utilă în planning-ul preoperator.,"IRM trebuie evaluat ca alternativă posibilă, neiradiantă (vizualizează mai bine conținutul cavităților dar nu obiectivează pereții osoși).",2,2,Nu
121,Pediatrie,Sistem nervos central,Sinuzită,G,Radiografie sinusuri,Neindicat,B,"Radiografia de sinusuri nu este indicată la copii, mai mult, înaintea vârstei de 5 ani  sinusurile sunt prea puțin dezvoltate.",,1,1,Nu
122,Pediatrie,Sistem nervos central,Surditate infantilă,M,IRM,Doar cu aviz specializat,C,"Poate fi necesar la copilul cu surditate congenitală sau postinfecțioasă, în bilanțul preimplant.",,0,0,Nu
123,Pediatrie,Sistem nervos central,Surditate infantilă,T,CT,Doar cu aviz specializat,C,Examenul CT este necesar: la copilul cu surditate congenitală sau postinfecțioasă în bilanțul preimplant și pentru controlul postimplant; în urgență în surditatea posttraumatică sau postmeningită bacteriană.,,2,2,Nu
124,Pediatrie,Sistem nervos central,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
125,Pediatrie,"Torace, pulmon, cord","Dispnee expiratorie, Astm",G,Radiografie toracică,Doar în cazuri particulare,B,"Dacă o radiografie efectuată în perioada intercritică se dovedește normală, repetarea acesteia nu este utilă, cu excepția cazului în care pacientul are febră, hipoxie sau dispnee brutală neexplicată (cauza poate fi inhalarea unui corp străin).",,1,1,Nu
126,Pediatrie,"Torace, pulmon, cord",Infecție respiratorie acută joasă (febrila),G,Radiografie toracică (pulmonară),Doar în cazuri particulare,A,"Radiografiile toracice sunt indicate doar în cazul simptomelor persistente/agravate sub tratament și a formelor grave din momentul debutului. Trebuie recomandată efectuarea unei radiografii toracice în caz de febră de origine necunoscută, copiii putând dezvolta pneumonii fără semne toracice. Dacă radiografia toracică arată o pneumonie simplă și evoluția este favorabilă, nu mai este necesară reevaluarea radiologică.","În infecțiile de căi respiratorii superioare (afebrile), rg. este Neindicată",1,1,Nu
127,Pediatrie,"Torace, pulmon, cord",Inhalare de corp străin (suspiciune),G,Radiografie toracică,Indicat,B,"Radiografia toracică este indicată, dar frecvent este normală. Dacă există o suspiciune clinică importantă de aspirație de corpi străini, bronhoscopia este obligatorie. ",,1,1,Nu
128,Pediatrie,"Torace, pulmon, cord",Inhalare de corp străin (suspiciune),T,CT,Doar în cazuri particulare,B,"CT-ul este indicat doar în cazuri particulare, când suspiciunea clinică de aspirație este redusă și radiografia este neconcludentă la un pacient simptomatic. ",,2,2,Nu
129,Pediatrie,"Torace, pulmon, cord",Pleurezie,E,Ecografie,Indicat,B,"Ecografia poate confirma prezența unei pleurezii în cantitate mică precum și a aspectului sau cloazonat. De asemenea, ajută la abordarea terapeutică și poate ghida o eventuală puncție.",,0,0,Nu
130,Pediatrie,"Torace, pulmon, cord",Pleurezie,G,Radiografie toracică,Indicat,C,Radiografia toracică în ortostatism poate depista pleurezia.,,1,1,Nu
131,Pediatrie,"Torace, pulmon, cord",Pleurezie,T,CT,Doar cu aviz specializat,C,CT-ul toracic este util în evaluarea parenchimului pulmonar după evacuarea unei pleurezii în cantitate mare. CT-ul toracic identifică empiemul.,,2,2,Nu
132,Pediatrie,"Torace, pulmon, cord",Stridor acut,G,Radiografie cervicala - profil si toracica - fata,Doar cu aviz specializat,B,Radiografia nu este utilă decât în cazul unei suspiciuni de corp străin sau de abces retrofaringian.,,1,1,Nu
133,Pediatrie,"Torace, pulmon, cord",Suflu cardiac,G,Radiografie toracică,Doar cu aviz specializat,C,Radiografia de torace este rareori utilă unui copil asimtomatic cu suflu cardiac (poate ajuta la diferențierea unei boli cu substrat cardiac de una non-cardiacă)  ,"In funcție de contextul clinic, este în general indicată ecocardiografia. Radiografia poate aduce informații suplimentare (în particular despre circulația pulmonară).",1,1,Nu
134,Pediatrie,"Torace, pulmon, cord",Tuse cronică,G,Radiografie toracică (pulmonară),Indicat,C,"Dacă este efectuată o primă radiografie toracică, repetarea nu este utilă decât în caz de atelectazie. În fața unei atelectazii rebele trebuie luată în discuție efectuarea unei endoscopii bronșice. Suspiciunea de mucoviscidoză necesită specificare și orientare spre un specialist. ",Tusea prelungită după o infecție de căi respiratorii (2-4 săptămâni) nu trebuie diagnosticată drept tuse cronică.,1,1,Nu
135,Pediatrie,"Torace, pulmon, cord",Tuse cronică,T,CT,Doar cu aviz specializat,C,CT-ul poate fi util în suspiciunea clinică sau radiologică de mucoviscidoză sau altă patologie bronho-pulmonară cronică. ,,2,2,Nu
136,Pediatrie,"Torace, pulmon, cord",ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
137,Pediatrie,Traumatisme,Traumatism cranio-cerebral la copil,E,Ecografie transfontanelară,Doar în cazuri particulare,C,"Ecografia transfontanelară poate să nu identifice hematoame pericerebrale (sub- sau extradurale) sau contuzii parenchimatoase, adesea periferice în acest context.","Ecografia transfontanelară nu este suficientă pentru a exclude o leziune. In cazurile cu modificări neurologice, ecografia poate constitui o etapă intermediară și eventual suficientă pentru aprecierea gravității, inaintea CT.",0,0,Nu
